C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2011.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17552
C05 HEADER LINES: 32
C06 DATA VERSION: 201312
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.7
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT
C19 COVERING PERIOD: 2011-01-01 2011-12-31
C20 TIME INTERVAL: 30 minutes
C21 MEASUREMENT UNIT: deg m/s % hPa Celsius 
C22
C23
C24 TIME ZONE: Local time UTC+1
C25
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:  
C31
DATE  TIME    WD    WS    RH     AP    AT
2011-01-02 21:45 -99.9 -99.9  96.2  784.3  -8.2 
2011-01-02 22:15 -99.9 -99.9  96.1  784.2  -8.0 
2011-01-02 22:45 -99.9 -99.9  96.1  784.3  -8.0 
2011-01-02 23:15 -99.9 -99.9  96.1  784.4  -7.9 
2011-01-02 23:45 -99.9 -99.9  95.9  784.2  -7.9 
2011-01-03 00:15 -99.9 -99.9  96.0  784.1  -7.9 
2011-01-03 00:45 -99.9 -99.9  96.0  784.2  -7.9 
2011-01-03 01:15 -99.9 -99.9  96.1  784.0  -7.8 
2011-01-03 01:45 -99.9 -99.9  95.3  783.8  -7.8 
2011-01-03 02:15 -99.9 -99.9  95.1  783.8  -7.9 
2011-01-03 02:45 -99.9 -99.9  96.0  783.7  -7.9 
2011-01-03 03:15 -99.9 -99.9  95.6  783.7  -7.8 
2011-01-03 03:45 -99.9 -99.9  95.7  783.9  -7.7 
2011-01-03 04:15 -99.9 -99.9  94.3  783.8  -8.0 
2011-01-03 04:45 -99.9 -99.9  95.0  784.1  -8.3 
2011-01-03 05:15 -99.9 -99.9  94.7  784.3  -8.2 
2011-01-03 05:45 -99.9 -99.9  94.7  784.3  -8.3 
2011-01-03 06:15 -99.9 -99.9  94.1  784.6  -8.4 
2011-01-03 06:45 -99.9 -99.9  93.4  785.1  -8.8 
